,Number,Country,Total_cases,New_cases,Total_deaths,New_deaths,Total_Recovered,New_Recovered,Active_cases,Serious_critical_cases,Cases per 1 million population,Deaths per 1 million population,Total Tests,Test per 1 million population,Population,Continent
182,189,Dominica,"15,760",,74,,"15,673",,13,,"217,848","1,023","229,344","3,170,187","72,344",North America
183,190,Djibouti,"15,690",,189,,"15,427",,74,,"15,441",186,"305,941","301,094","1,016,097",Africa
184,191,CAR,"15,368",,113,,"15,200",,55,2,"3,063",23,"81,294","16,205","5,016,678",Africa
185,192,Gambia,"12,626",,372,,"12,189",,65,,"4,935",145,"155,686","60,851","2,558,482",Africa
186,193,Saint Martin,"12,300",,63,,"1,399",,"10,838",7,"309,590","1,586","112,382","2,828,643","39,730",North America
187,194,Vanuatu,"12,016",,14,,"11,976",,26,,"37,336",44,"24,976","77,606","321,832",Australia/Oceania
188,195,Greenland,"11,971",,21,,"2,761",,"9,189",4,"210,117",369,"164,926","2,894,810","56,973",North America
189,196,Yemen,"11,945",,"2,159",,"9,124",,662,23,383,69,"329,592","10,579","31,154,867",Asia
190,197,Caribbean Netherlands,"11,682",,38,,"10,476",,"1,168",,"438,398","1,426","30,126","1,130,559","26,647",North America
191,198,Sint Maarten,"11,030",,92,,"10,905",,33,N/A,"250,876","2,093","62,056","1,411,454","43,966",North America
192,200,Niger,"9,931",,312,,"8,890",,729,1,381,12,"254,538","9,759","26,083,660",Africa
193,201,St. Vincent Grenadines,"9,619",,124,,"9,488",,7,,"86,230","1,112","114,100","1,022,851","111,551",North America
194,202,Guinea-Bissau,"9,614",,177,,"8,929",,508,6,"4,659",86,"145,231","70,385","2,063,367",Africa
195,203,Comoros,"9,109",,161,,"8,939",,9,,"10,038",177,,,"907,419",Africa
196,204,Antigua and Barbuda,"9,106",,146,,"8,954",,6,1,"91,509","1,467","18,901","189,943","99,509",North America
197,205,Liberia,"8,090",,295,,"7,783",,12,2,"1,525",56,"139,824","26,356","5,305,117",Africa
198,206,Sierra Leone,"7,762",,126,,N/A,N/A,N/A,,934,15,"259,958","31,296","8,306,436",Africa
199,207,Chad,"7,698",,194,,"4,874",,"2,630",,442,11,"191,341","10,988","17,413,580",Africa
200,208,British Virgin Islands,"7,305",,64,,N/A,N/A,N/A,,"238,757","2,092","107,339","3,508,269","30,596",North America
201,209,Cook Islands,"7,067",,2,,"7,060",,5,,"402,197",114,"19,690","1,120,596","17,571",Australia/Oceania
202,210,Saint Kitts and Nevis,"6,600",,48,,"6,550",,2,,"122,515",891,"126,941","2,356,388","53,871",North America
203,211,Turks and Caicos,"6,588",,38,,"6,529",,21,4,"165,773",956,"612,335","15,408,143","39,741",North America
204,212,Sao Tome and Principe,"6,575",,80,,"6,494",,1,,"28,878",351,"29,036","127,530","227,679",Africa
205,214,St. Barth,"5,486",,6,,N/A,N/A,N/A,,"551,634",603,"78,646","7,908,095","9,945",North America
206,215,Nauru,"5,393",,1,,"5,347",,45,,"494,635",92,"20,509","1,881,042","10,903",Australia/Oceania
207,216,Kiribati,"5,025",,24,,"2,703",,"2,298",3,"40,715",194,,,"123,419",Australia/Oceania
208,217,Anguilla,"3,904",,12,,"3,879",,13,4,"256,336",788,"51,382","3,373,736","15,230",North America
209,218,Macao,"3,562",,121,,"3,429",,12,,"5,336",181,"7,850","11,760","667,490",Asia
210,219,Saint Pierre Miquelon,"3,452",,2,,"2,449",,"1,001",1,"599,410",347,"25,400","4,410,488","5,759",North America
211,220,Wallis and Futuna,"3,427",,7,,438,,"2,982",,"312,056",637,"20,508","1,867,419","10,982",Australia/Oceania
212,221,Tuvalu,"2,805",,,,,,"2,805",,"232,471",,,,"12,066",Australia/Oceania
213,222,Saint Helena,"2,166",,,,2,,"2,164",,"354,211",,,,"6,115",Africa
214,224,Montserrat,"1,403",,8,,"1,376",,19,,"282,578","1,611","17,762","3,577,442","4,965",North America
215,225,Niue,802,,,,801,,1,,"494,451",,,,"1,622",Australia/Oceania
216,230,Tokelau,5,,,,,,5,,"3,628",,,,"1,378",Australia/Oceania
217,231,China,"503,302",,"5,272",,"379,053",,"118,977",N/A,347,4,"160,000,000","110,461","1,448,471,400",Asia
